power_degree,cluster_coefficient,distance,average_degree,density,modularity,maximum_distance,size
-0.8968799766352482,0.25662325859694285,13.661414141414141,3.26,0.032929292929292926,0.6037299107982989,32,100
-1.0488362768474444,0.18412155337155334,8.87919191919192,3.24,0.03272727272727273,0.5811042524005486,26,100
-0.6451530725134039,0.1384734848484849,8.014343434343434,2.78,0.02808080808080808,0.6264686092852336,25,100
-0.9775236203256816,0.18819187172476648,13.447878787878787,3.42,0.034545454545454546,0.5565644129817722,32,100
-0.7866284976792474,0.25659417706476534,6.911515151515151,3.24,0.03272727272727273,0.570606614845298,23,100
-0.8875071965850694,0.20298058548058545,10.635555555555555,3.5,0.03535353535353535,0.5570122448979592,28,100
-0.7145640886292232,0.21118636647904943,8.871717171717172,3.36,0.03393939393939394,0.563970379818594,25,100
-0.6776922951425788,0.20931632865779204,5.470303030303031,3.32,0.033535353535353536,0.5717629554362026,19,100
-0.7442029227348175,0.21576190476190477,13.40060606060606,2.96,0.0298989898989899,0.6007121986851716,32,100
-0.8146421525368004,0.19725488237252936,9.437171717171717,3.2,0.03232323232323232,0.5900195312500001,28,100
-0.7562862202105004,0.28209553518377056,3.3319191919191917,3.6,0.03636363636363636,0.5055709876543208,11,100
-0.8175544689136232,0.2012211068462862,5.204848484848485,3.34,0.03373737373737374,0.5548603392018359,18,100
-0.8723808573948976,0.19257990723170992,14.094343434343434,3.1,0.031313131313131314,0.6135900104058273,33,100
-0.9512580742747961,0.1702886032155809,10.675959595959595,3.12,0.03151515151515152,0.6046392176199868,34,100
-0.969493117684081,0.17933431480799897,7.204040404040404,2.92,0.029494949494949494,0.5934978419966223,24,100
-0.5892101912517606,0.27812505699954415,12.028080808080809,3.16,0.03191919191919192,0.570241147252043,30,100
-0.7495875809122596,0.2993635261121993,8.681414141414141,4.0,0.04040404040404041,0.5249375,24,100
-1.005456758565763,0.21377910977910974,13.10969696969697,3.4,0.03434343434343434,0.5466608996539793,32,100
-0.6932498754025455,0.2624827296939684,4.221616161616161,3.68,0.037171717171717175,0.47812795368620037,15,100
-0.8626179205280889,0.21474076311285617,6.1294949494949496,3.06,0.03090909090909091,0.5694818232303814,22,100
-0.5720282275594687,0.2281097839358708,7.254141414141414,3.26,0.032929292929292926,0.5543678723324175,22,100
-0.8198546341597364,0.22650745453377033,9.474343434343435,3.56,0.03595959595959596,0.5379213483146068,27,100
-0.7483757310863532,0.1716657329598506,10.599191919191918,2.86,0.028888888888888888,0.619883612890606,29,100
-0.8001535249276657,0.20799481299481304,9.367474747474747,2.94,0.029696969696969697,0.6148364107547781,27,100
-1.0552323974910145,0.22418675274988042,9.107474747474747,3.18,0.03212121212121212,0.5474269214034255,26,100
-0.7194385516530342,0.17222424043476675,9.653333333333334,3.02,0.030505050505050504,0.5760931538090435,26,100
-0.923912532539877,0.239086856941508,9.41939393939394,3.58,0.03616161616161616,0.5095658687306888,25,100
-0.7855365694548155,0.23707793522267212,13.033939393939393,3.1,0.031313131313131314,0.5782726326742976,31,100
-0.7756011669606091,0.25334461432287514,8.507272727272728,3.54,0.03575757575757576,0.5279932331067062,25,100
-0.9360875132791149,0.17130158730158726,7.831717171717171,2.84,0.028686868686868688,0.61218012299147,26,100
-0.8751654378334383,0.21441544283030342,10.248080808080807,3.2,0.03232323232323232,0.5569140625,28,100
-1.116394958700428,0.20601264638021857,15.33979797979798,3.22,0.032525252525252527,0.5875544924964314,35,100
-0.7958919616596093,0.24698083778966137,5.356767676767677,3.24,0.03272727272727273,0.5553269318701417,19,100
-0.8883175654384524,0.21545093502988238,11.511111111111111,3.04,0.030707070707070707,0.5870412049861496,29,100
-0.8978835577538303,0.2004855057223478,8.836363636363636,3.84,0.03878787878787879,0.5209147135416667,24,100
-0.72833971111909,0.260043537414966,4.941010101010101,3.3,0.03333333333333333,0.5287052341597797,19,100
-0.9230947488279584,0.2190368604437925,9.357373737373738,3.26,0.032929292929292926,0.5427565960329707,25,100
-1.006834415064731,0.18992954492954495,9.156161616161617,2.98,0.0301010101010101,0.6123598036124499,27,100
-0.7162511295808828,0.267516180156273,3.4004040404040405,3.48,0.03515151515151515,0.47621878715814514,12,100
-0.6558353682664768,0.3030795957254376,8.634747474747474,3.84,0.03878787878787879,0.48379177517361105,24,100
-0.8104356934304338,0.21893650793650793,7.502424242424242,3.18,0.03212121212121212,0.583204778291998,24,100
-0.9265011097333418,0.22854731702406117,9.093131313131313,3.32,0.033535353535353536,0.5535092175932645,26,100
-0.963794602708784,0.26250118873374695,7.054343434343434,3.56,0.03595959595959596,0.5235923494508269,25,100
-0.9999448946824913,0.09046666666666664,13.33939393939394,2.48,0.025050505050505052,0.6831750780437045,32,100
-0.7815807452282701,0.20087301587301593,9.855555555555556,3.08,0.03111111111111111,0.6104317760161915,29,100
